Board,Pile,Tile,Score
1340,2,3,-2
1353,3,3,1
0055,2,5,7
0115,3,3,-6
1212,2,1,1
0114,2,1,2
1017,3,5,4
1217,3,4,10
0036,3,6,1
1105,1,1,1
1117,3,2,7
1330,2,1,3
1332,2,3,-6
1316,1,1,19
1215,3,3,-2
1306,3,3,3
0231,2,2,1
1125,2,1,-6
1332,3,1,-8
1131,1,1,3
0252,2,5,-2
1256,1,2,18
0206,3,2,6
0037,3,6,12
0147,3,4,-2
0141,1,1,24
1322,2,2,20
1253,0,1,23
0250,1,2,39
0056,3,5,16
1152,2,1,-3
1042,2,1,4
1203,3,3,10
0055,2,2,-5
1244,3,3,5
0215,2,1,4
1332,1,2,-6
1323,3,1,13
1156,2,1,3
1106,3,5,5
0323,2,1,8
1313,3,1,-3
0125,1,1,-3
1127,3,3,1
1024,3,4,-2
1331,2,1,-1
1307,3,6,20
1153,3,1,6
1122,2,2,-4
1343,2,1,-1
1033,0,1,7
1306,3,5,18
0211,3,1,27
0204,3,3,18
1247,2,4,4
0323,1,1,15
1251,2,3,-6
0114,3,4,-6
1154,3,1,6
1141,0,1,18
1335,3,3,10
1253,3,2,31
0202,3,2,-26
1106,0,1,15
0331,2,2,12
0217,3,1,3
0116,2,1,1
1254,2,1,-8
1243,3,2,-2
0241,1,2,6
1106,1,1,6
1005,3,2,11
0254,3,4,3
1314,2,1,-2
0114,3,1,3
0322,2,2,-5
1047,3,1,13
0046,2,4,6
1353,3,1,8
1015,0,1,-2
0055,2,4,6
0214,1,2,13
1027,3,2,15
1005,3,5,30
1151,2,4,-14
1112,3,1,-10
0053,3,3,1
0025,3,2,25
0216,3,2,-3
0043,2,3,4
1326,1,3,6
1025,0,1,15
0246,1,2,6
0036,2,3,2
1042,3,2,3
0257,3,6,57
1107,3,5,-4
1007,3,3,54
0254,3,1,10
1330,2,3,5
1114,3,4,5
0355,3,3,25
1312,3,1,35
1035,3,1,5
1032,2,3,5
1024,2,2,5
0355,2,1,-13
0344,3,3,-4
0340,1,3,2
1212,1,1,3
1335,3,4,10
1137,3,5,3
1007,3,1,17
1254,1,1,-3
0240,2,4,-4
1030,2,1,41
1057,3,7,44
1322,1,2,13
1335,2,3,8
0224,3,2,-4
0244,1,2,-4
0143,1,1,19
0253,1,2,13
